test_id,branch,N,k2,k4,mc_M,trace_distance,max_abs_error,imag_leakage
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,40000,0.004788387003954821,0.001925201275285688,0.0
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,160000,0.002785718263829543,0.0010223595850538392,0.0
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,0.0027120596703540285,0.0016533877129453096,0.0
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,40000,0.002244256264752778,0.0008280743177086491,0.0023729386415435086
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,160000,0.0006182827525848204,0.00026515594787245717,0.0013761967412467828
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,0.0002066720183471237,9.45120424333222e-05,0.0008805474422342932
