test_id,beta,coupling,num_spins,alpha2,alpha4,alpha6,alpha6_used,chi4,chi6,stability_rel_2,stability_rel_4,stability_rel_6,k6_resolved,p0_ed,p1_ed,p2_ed,p0_k2,p1_k2,p2_k2,p0_k24,p1_k24,p2_k24,p0_k246,p1_k246,p2_k246,td_k2,td_k24,td_k246,td_ed_hmf_exact,fro_k2,fro_k24,fro_k246,improvement_24,improvement_246,shift_lvl1_ed,shift_lvl1_k2,shift_lvl1_k24,shift_lvl1_k246,shift_lvl2_ed,shift_lvl2_k2,shift_lvl2_k24,shift_lvl2_k246,trace_err_ed,trace_err_k2,trace_err_k24,trace_err_k246,herm_err_ed,herm_err_k2,herm_err_k24,herm_err_k246
NHS-CNG-1-v2,0.5,0.2,5,0.04688326498129065,-8.293834297900636e-05,-0.0076146983856320745,0.0,-0.03773285415308799,-73.89229506259773,7.780468502131268e-10,0.03575059653491029,0.671875,0,0.476427336332739,0.3109753946243631,0.21259726904289802,0.4763518546859735,0.3109395138924768,0.21270863142154972,0.4764252150869505,0.31097450390126835,0.21260028101178116,0.4764252150869505,0.31097450390126835,0.21260028101178116,0.00011136237865166931,3.011968883123717e-06,3.011968883123717e-06,1.249000902703301e-16,0.00013923535936707207,3.7901224095520586e-06,3.7901224095520586e-06,36.973283248588956,36.973283248588956,0.04679715039970889,0.046883264981290695,0.046800326638311796,0.046800326638311796,0.18616880684291015,0.18753305992516256,0.18620604643749838,0.18620604643749838,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.5,0.3,5,0.10548734638658047,-0.00043408064065944747,-0.093068535824392,0.0,-0.03900943699874425,-79.2869622316905,5.202967333893109e-10,0.007323936763958534,0.9980113636363636,0,0.46032504273068503,0.3093457092053236,0.2303292480639914,0.45993359745104323,0.3091497535718741,0.23091664897708275,0.46033297844129933,0.3093510532429794,0.23031596831572115,0.46033297844129933,0.3093510532429794,0.23031596831572115,0.0005874009130913821,1.3279748270172975e-05,1.3279748270172975e-05,1.3877787807814457e-17,0.0007325761734693744,1.6367221986085693e-05,1.6367221986085693e-05,44.2328349258484,44.2328349258484,0.10505319388832102,0.10548734638658053,0.10505326574592111,0.10505326574592111,0.41515388805199693,0.4219493855463221,0.415004095295771,0.415004095295771,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.5,0.4,5,0.1875330600710721,-0.001376213957608267,-0.15990866609827356,0.0,-0.03913184076118738,-24.245909492425216,1.3730164512500804e-09,0.00435703545990315,0.9997519841269842,0,0.43758994552371333,0.30623925571286337,0.25617079876342336,0.43631852971122875,0.30555783685834853,0.2581236334304227,0.4376474304316706,0.3062776538083188,0.2560749157600107,0.4376474304316706,0.3062776538083188,0.2560749157600107,0.001952834666999359,9.588300341267786e-05,9.588300341267786e-05,1.1102230246251565e-16,0.0024278371156563673,0.00011820523981995758,0.00011820523981995758,20.36684915463496,20.36684915463496,0.1861688068429107,0.18753306007107207,0.18615684611346406,0.18615684611346406,0.7291242604925934,0.7501322402842885,0.7281128169625561,0.7281128169625561,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.5,0.5,5,0.2930204065158622,-0.0033661345316065507,-0.10152931180842766,0.0,-0.039204483447336236,-4.035504564202722,9.168824098524563e-10,0.002547425101629891,0.995703125,0,0.4082358031848804,0.3008771341351386,0.290887062679981,0.40505734100329377,0.29902848699009893,0.2959141720066074,0.4084743181023976,0.30104392355463605,0.29048175834296636,0.4084743181023976,0.30104392355463605,0.29048175834296636,0.005027109326626367,0.00040530433701463364,0.00040530433701463364,2.7755575615628914e-17,0.0062283180946780614,0.0004989786387586135,0.0004989786387586135,12.403295172350601,12.403295172350601,0.2897140654703192,0.29302040651586225,0.28965427198425575,0.28965427198425575,1.1221802692926068,1.1720816260634488,1.118223473557744,1.118223473557744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.5,0.62,5,0.450548177328498,-0.007977600633131826,0.0008460775984035638,0.0,-0.039299752659255976,0.009250953224627143,4.741156930607652e-10,0.00030706396972213104,0.515625,0,0.3647582378522038,0.2902209341399193,0.345020828007877,0.35716427821414287,0.2852796501189378,0.3575560716669194,0.36566310810192665,0.2909052835741196,0.34343160832395386,0.36566310810192665,0.2909052835741196,0.34343160832395386,0.012535243659042405,0.0015892196839231154,0.0015892196839231154,0.0,0.015466636491237135,0.001952624777240236,0.001952624777240236,7.887672035434496,7.887672035434496,0.4428154054260531,0.45054817732849817,0.44257057669536654,0.44257057669536654,1.6887400283426928,1.802192709313992,1.6745510991838826,1.6745510991838826,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.5,0.75,5,0.6592959152650724,-0.017080173009824482,-0.09899107901321695,0.0,-0.03929447542548359,-0.34542590414657837,1.4113340869359282e-10,0.00037111262657180865,1.0018696581196582,0,0.30929221448366256,0.2719916006487084,0.418716184867629,0.29356262872932004,0.2602750509009998,0.4461623203696801,0.3120337230203171,0.2742991062651798,0.41366717071450315,0.3120337230203171,0.2742991062651798,0.41366717071450315,0.027446135502051133,0.005049014153125891,0.005049014153125891,0.0,0.033734074168275265,0.0061913645624419485,0.0061913645624419485,5.435939506142794,5.435939506142794,0.6429693557689827,0.6592959152650723,0.6422157422552477,0.6422157422552477,2.4058136387139424,2.6371836610602895,2.3639008929030982,2.3639008929030982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.75,0.2,5,0.06309595601344603,-0.0002120312765479251,-0.04456008684925435,0.0,-0.05325947459828604,-177.39503143089613,3.2508419374051277e-09,0.021797243370531096,1.0257120253164558,0,0.5416493989585094,0.28910193572710696,0.1692486653143837,0.5413912812553405,0.2890108526959426,0.1695978660487169,0.5416496091013944,0.28910277804478157,0.16924761285382417,0.5416496091013944,0.28910277804478157,0.16924761285382417,0.0003492007343331993,1.0524605594947056e-06,1.0524605594947056e-06,4.163336342344337e-17,0.0004436913568169848,1.3643065368040835e-06,1.3643065368040835e-06,331.79460378149776,331.79460378149776,0.06288055727859432,0.06309595601344586,0.06288392473689808,0.06288392473689808,0.24900013218268513,0.2523838240537841,0.2489913236290171,0.2489913236290171,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.75,0.3,5,0.14196590143759233,-0.0010976397355428995,0.0,0.0,-0.05446176748019391,0.0,6.582580114047722e-10,0.0007024055221214381,1.0,0,0.5107595714555887,0.28903906024698234,0.2002013682974289,0.5093601482636432,0.2884811520212791,0.20215869971507783,0.5108327246307603,0.28907708534127774,0.20009019002796208,0.5108327246307603,0.28907708534127774,0.20009019002796208,0.0019573314176488388,0.00011117826946686893,0.00011117826946686893,2.7755575615628914e-17,0.0024699783677145574,0.00013841207474599935,0.00013841207474599935,17.60534164666165,17.60534164666165,0.1408838160270226,0.14196590143759236,0.14086826170204958,0.14086826170204958,0.5512329706492849,0.5678636057503692,0.5503013699816826,0.5503013699816826,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.75,0.4,5,0.25238382487424404,-0.0034680953429901636,0.07332672519497552,0.0,-0.05444625248048218,4.56118551255607,3.599602464030495e-10,0.00020241081573617295,1.0282451923076923,0,0.4660059623647908,0.28598762136855566,0.24800641626665354,0.4612526101460416,0.2837897714992591,0.2549576183546994,0.4664441550331207,0.2862384199508642,0.24731742501601503,0.4664441550331207,0.2862384199508642,0.24731742501601503,0.00695120208804581,0.0006889912506385237,0.0006889912506385237,0.0,0.008703109319795305,0.0008541789548581195,0.0008541789548581195,10.08895552970197,10.08895552970197,0.24900013218268446,0.25238382487424404,0.24891572953125407,0.24891572953125407,0.9590082520736557,1.0095352994969762,0.9540457740091335,0.9540457740091335,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0
NHS-CNG-1-v2,0.75,0.5,5,0.39434972639124816,-0.00846177647079575,-0.00676862078722851,0.0,-0.05441247254009664,-0.11037114598419451,5.546745831870166e-10,0.0005812182198982835,1.14453125,0,0.4073302366917481,0.27707096788659497,0.315598795421657,0.3951594329278849,0.27044036339098015,0.3344002036811349,0.4090674250869016,0.2781876701488262,0.3127449047642722,0.4090674250869016,0.2781876701488262,0.3127449047642722,0.01880140825947796,0.0028538906573847556,0.0028538906573847556,0.0,0.023357789552423364,0.00352271760818781,0.00352271760818781,6.587991803689903,6.587991803689903,0.38619923510020093,0.3943497263912482,0.38588794992045283,0.38588794992045283,1.4597966978286578,1.5773989055649926,1.4420104820322606,1.4420104820322606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
