test_id,record_type,coupling,beta,cutoff,mode_count,lambda_disc,lambda_cont,p0_ed,p1_ed,p2_ed,p0_analytic,p1_analytic,p2_analytic,p0_hs_scalar,p1_hs_scalar,p2_hs_scalar,p0_hs_path,p1_hs_path,p2_hs_path,td_ed_analytic,td_hs_scalar_analytic,td_hs_path_analytic,td_hs_scalar_ed,td_hs_path_ed,td_ed_hmf_exact,lambda_est_ed,lambda_est_analytic,lambda_est_hs_scalar,lambda_est_hs_path,trace_err_ed,trace_err_analytic,trace_err_hs_scalar,trace_err_hs_path,herm_err_ed,herm_err_analytic,herm_err_hs_scalar,herm_err_hs_path,mc_method,mc_M,mc_error_to_analytic,mc_error_to_ed,mc_error_std_to_analytic,mc_error_std_to_ed,mc_scaling_reps
NHS-CG-1-v2,benchmark,0.2,0.5,4,2,0.005109694545088781,0.009269183885671987,0.48788505932849097,0.311838578999199,0.20027636167231017,0.4878036566492422,0.3118330128268766,0.2003633305238813,0.4878173752585682,0.3118298014818868,0.200352823259545,0.48795691857358353,0.3117944722332609,0.20024860919315546,8.6968851571112e-05,1.3718609326043851e-05,0.0001532619243414246,7.64615872348301e-05,7.185924509264807e-05,1.3877787807814457e-17,0.00480918857164192,0.005109694545088861,0.005069411918255051,0.004666260113615206,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.5,6,2,0.005109694545088781,0.009269183885671987,0.48781275331725715,0.3118336642392234,0.2003535824435194,0.4878036566492422,0.3118330128268766,0.2003633305238813,0.4878173752585682,0.3118298014818868,0.200352823259545,0.48795691857358353,0.3117944722332609,0.20024860919315546,9.748080361887679e-06,1.3718609326043851e-05,0.0001532619243414246,4.62194131099769e-06,0.00014416525632637844,1.1102230246251565e-16,0.005076043923194329,0.005109694545088861,0.005069411918255051,0.004666260113615206,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.5,8,2,0.005109694545088781,0.009269183885671987,0.4878045646649769,0.31183308076701516,0.20036235456800805,0.4878036566492422,0.3118330128268766,0.2003633305238813,0.4878173752585682,0.3118298014818868,0.200352823259545,0.48795691857358353,0.3117944722332609,0.20024860919315546,9.759558732697071e-07,1.3718609326043851e-05,0.0001532619243414246,1.2810593591344732e-05,0.00015235390860672549,0.0,0.005106328356276335,0.005109694545088861,0.005069411918255051,0.004666260113615206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.5,10,2,0.005109694545088781,0.009269183885671987,0.48780374165211543,0.3118330194584864,0.20036323888939817,0.4878036566492422,0.3118330128268766,0.2003633305238813,0.4878173752585682,0.3118298014818868,0.200352823259545,0.48795691857358353,0.3117944722332609,0.20024860919315546,9.163448309867928e-08,1.3718609326043851e-05,0.0001532619243414246,1.3633606452762015e-05,0.00015317692146814277,2.7755575615628914e-17,0.005109378746088411,0.005109694545088861,0.005069411918255051,0.004666260113615206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.5,12,2,0.005109694545088781,0.009269183885671987,0.48780366428858263,0.31183301344712255,0.20036332226429482,0.4878036566492422,0.3118330128268766,0.2003633305238813,0.4878173752585682,0.3118298014818868,0.200352823259545,0.48795691857358353,0.3117944722332609,0.20024860919315546,8.259586445347189e-09,1.3718609326043851e-05,0.0001532619243414246,1.3710969985564203e-05,0.00015325428500094496,1.3877787807814457e-17,0.005109666103222665,0.005109694545088861,0.005069411918255051,0.004666260113615206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.75,4,2,0.005109694545088781,0.009269183885671987,0.563603740644972,0.2880534686542949,0.1483427907007332,0.5635847024996421,0.2880545604174923,0.14836073708286565,0.563601490497291,0.2880495250944593,0.14834898440824973,0.56354399040654,0.288067590098049,0.14838841949541104,1.9038145329886014e-05,1.6787997648926023e-05,4.0712093102079905e-05,6.193707516533031e-06,5.975023843196592e-05,0.0,0.00505811064662165,0.005109694545088805,0.005073358724773158,0.005195965042604167,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.75,6,2,0.005109694545088781,0.009269183885671987,0.5635852940620564,0.2880545317338423,0.14836017420410125,0.5635847024996421,0.2880545604174923,0.14836073708286565,0.563601490497291,0.2880495250944593,0.14834898440824973,0.56354399040654,0.288067590098049,0.14838841949541104,5.91562414331559e-07,1.6787997648926023e-05,4.0712093102079905e-05,1.6196435234594464e-05,4.1303655516411464e-05,2.7755575615628914e-17,0.005108079999604331,0.005109694545088805,0.005073358724773158,0.005195965042604167,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.75,8,2,0.005109694545088781,0.009269183885671987,0.5635847188450603,0.2880545597673277,0.14836072138761186,0.5635847024996421,0.2880545604174923,0.14836073708286565,0.563601490497291,0.2880495250944593,0.14834898440824973,0.56354399040654,0.288067590098049,0.14838841949541104,1.6345418324403838e-08,1.6787997648926023e-05,4.0712093102079905e-05,1.677165223060162e-05,4.072843852040431e-05,8.326672684688674e-17,0.005109649613837364,0.005109694545088805,0.005073358724773158,0.005195965042604167,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.75,10,2,0.005109694545088781,0.009269183885671987,0.5635847029230459,0.2880545604042763,0.14836073667267788,0.5635847024996421,0.2880545604174923,0.14836073708286565,0.563601490497291,0.2880495250944593,0.14834898440824973,0.56354399040654,0.288067590098049,0.14838841949541104,4.2340377037763943e-10,1.6787997648926023e-05,4.0712093102079905e-05,1.6787574245155645e-05,4.071251650585028e-05,4.163336342344337e-17,0.005109693373065716,0.005109694545088805,0.005073358724773158,0.005195965042604167,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,0.75,12,2,0.005109694545088781,0.009269183885671987,0.5635847025101718,0.28805456041725086,0.1483607370725774,0.5635847024996421,0.2880545604174923,0.14836073708286565,0.563601490497291,0.2880495250944593,0.14834898440824973,0.56354399040654,0.288067590098049,0.14838841949541104,1.0529688232452372e-11,1.6787997648926023e-05,4.0712093102079905e-05,1.678798711923779e-05,4.071210363176814e-05,0.0,0.005109694515745666,0.005109694545088805,0.005073358724773158,0.005195965042604167,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,1.0,4,2,0.005109694545088781,0.009269183885671987,0.6339724116487209,0.25907233816965686,0.10695525018162227,0.6339688438628148,0.25907290422963275,0.10695825190755251,0.6339618309181416,0.2590767229544868,0.10696144612737164,0.6338349456060285,0.25913090703396957,0.10703414736000207,3.567785906086196e-06,7.012944673194521e-06,0.0001338982567863703,1.0580730579280717e-05,0.0001374660426924565,0.0,0.005101271410000385,0.005109694545088805,0.005119925984975959,0.005339833843129582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,1.0,6,2,0.005109694545088781,0.009269183885671987,0.6339688750067447,0.259072899890906,0.10695822510234926,0.6339688438628148,0.25907290422963275,0.10695825190755251,0.6339618309181416,0.2590767229544868,0.10696144612737164,0.6338349456060285,0.25913090703396957,0.10703414736000207,3.11439299488514e-08,7.012944673194521e-06,0.0001338982567863703,7.0440886031433725e-06,0.00013392940071631915,9.020562075079397e-17,0.005109619610323302,0.005109694545088805,0.005119925984975959,0.005339833843129582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
NHS-CG-1-v2,benchmark,0.2,1.0,8,2,0.005109694545088781,0.009269183885671987,0.6339688441044355,0.25907290420047563,0.10695825169508885,0.6339688438628148,0.25907290422963275,0.10695825190755251,0.6339618309181416,0.2590767229544868,0.10696144612737164,0.6338349456060285,0.25913090703396957,0.10703414736000207,2.4162075118461246e-10,7.012944673194521e-06,0.0001338982567863703,7.013186293945706e-06,0.00013389849840712148,6.938893903907228e-18,0.005109693953203598,0.005109694545088805,0.005119925984975959,0.005339833843129582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,nan,nan
