test_id,beta,coupling,g2,M,trace_distance,trace_distance_mc_proxy,offdiag_norm
NHS-NCG-1,0.8,0.08,0.0064,4000,2.57837052584638e-05,0.003978630780468938,0.0020439804504267293
NHS-NCG-1,0.8,0.08,0.0064,12000,2.57837052584638e-05,0.002307961028196656,0.0020439804504267293
NHS-NCG-1,0.8,0.08,0.0064,40000,2.57837052584638e-05,0.0012757837052584638,0.0020439804504267293
NHS-NCG-1,0.8,0.14,0.019600000000000003,4000,7.925721241340891e-05,0.004032104287623883,0.006256825251422263
NHS-NCG-1,0.8,0.14,0.019600000000000003,12000,7.925721241340891e-05,0.002361434535351601,0.006256825251422263
NHS-NCG-1,0.8,0.14,0.019600000000000003,40000,7.925721241340891e-05,0.0013292572124134088,0.006256825251422263
NHS-NCG-1,1.2,0.08,0.0064,4000,1.5913702769514032e-05,0.003968760777979988,0.002228193714578135
NHS-NCG-1,1.2,0.08,0.0064,12000,1.5913702769514032e-05,0.0022980910257077063,0.002228193714578135
NHS-NCG-1,1.2,0.08,0.0064,40000,1.5913702769514032e-05,0.001265913702769514,0.002228193714578135
NHS-NCG-1,1.2,0.14,0.019600000000000003,4000,4.885221015468593e-05,0.0040016992853651595,0.0068182560779119035
NHS-NCG-1,1.2,0.14,0.019600000000000003,12000,4.885221015468593e-05,0.002331029533092878,0.0068182560779119035
NHS-NCG-1,1.2,0.14,0.019600000000000003,40000,4.885221015468593e-05,0.001298852210154686,0.0068182560779119035
